GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%)
1737000000000.0,28700.0,2.1,0.4,1000.0,120000.0,893100.0,419700000000.0,1.7
1551000000.0,8300.0,,,,,817.0,625000000.0,
4580000000.0,17500.0,,,,,2590.0,1341000000.0,
,,,,,,,,
7966000000.0,5900.0,1.9,8.1,3000.0,48000.0,8464.0,1225000000.0,1.6
2799000000.0,1800.0,6.0,1.2,600.0,6800.0,2700.0,180900000.0,
768000000.0,600.0,4.5,,,,,1900000000.0,
14450000000.0,3100.0,9.5,0.1,200.0,3000.0,20229.0,1806000000.0,3.0
2362000000000.0,28700.0,1.7,0.1,1000.0,43000.0,230735.0,716700000000.0,2.2
48270000000.0,2300.0,5.4,3.1,30000.0,350000.0,46176.0,3699000000.0,3.8
769000000.0,27900.0,,,,,29.0,1743000000.0,
,,,,,,,,
226400000000.0,21300.0,3.7,0.2,100.0,9100.0,117000.0,54280000000.0,4.1
1100000000.0,20000.0,1.8,,,100.0,,445000000.0,
440000000.0,5000.0,2.5,,,,1040.0,208000000.0,0.7
3513000000.0,7900.0,,,,,947.0,1700000000.0,
3200000000.0,21000.0,,,,,977.0,462000000.0,
59470000000.0,4200.0,2.6,1.1,5800.0,78000.0,14118.0,7770000000.0,4.1
2590000000.0,40000.0,3.0,,,,,,
19500000000.0,2100.0,1.0,3.2,9000.0,140000.0,30500.0,641500000.0,3.2
1008000000.0,700.0,2.6,10.0,1200.0,17000.0,4400.0,104000000.0,2.6
2899000000.0,3800.0,1.9,2.5,1100.0,11000.0,7970.0,650100000.0,7.1
12050000000.0,1500.0,-3.5,5.6,24000.0,280000.0,4160.0,1085000000.0,
,,,,,,,,
,,,,,,,,
18790000000.0,2800.0,4.2,1.8,4100.0,63000.0,13603.0,3332000000.0,7.7
234500000000.0,34200.0,7.9,0.1,200.0,2600.0,1831.0,275900000000.0,1.0
,,,,,,,,
149300000000.0,14900.0,3.9,0.1,100.0,2800.0,159568.0,58680000000.0,9.6
9373000000.0,31900.0,1.8,0.2,100.0,220.0,13004.0,3307000000.0,8.8
3319000000000.0,3100.0,6.2,0.9,310000.0,5100000.0,2525989.0,89330000000.0,7.4
827400000000.0,3500.0,4.9,0.1,2400.0,110000.0,342700.0,45070000000.0,10.5
516700000000.0,7700.0,6.3,0.1,800.0,31000.0,167157.0,31300000000.0,3.5
89800000000.0,3500.0,52.3,0.1,,500.0,45550.0,9900000000.0,
126400000000.0,31900.0,5.1,0.1,100.0,2800.0,95736.0,60650000000.0,7.0
129000000000.0,20800.0,3.9,0.1,100.0,3000.0,16903.0,36840000000.0,4.5
1609000000000.0,27700.0,1.3,0.5,1000.0,140000.0,479688.0,329300000000.0,0.7
11130000000.0,4100.0,1.9,1.2,900.0,22000.0,18700.0,3624000000.0,-2.0
,,,,,,,,
3745000000000.0,29400.0,2.9,0.1,500.0,12000.0,1171647.0,401800000000.0,6.6
,,,,,,,,
3600000000.0,40000.0,,,,,577.0,,
,,,,,,,,
25500000000.0,4500.0,5.1,0.1,500.0,600.0,7301.0,7600000000.0,5.0
,,,,,,,,
118400000000.0,7800.0,9.1,0.2,200.0,16500.0,82980.0,13070000000.0,10.6
34680000000.0,1100.0,2.2,6.7,150000.0,1200000.0,63942.0,4190000000.0,2.6
,,,,,,,,
79000000.0,800.0,1.5,,,,670.0,83000000.0,0.7
30880000000.0,1400.0,1.0,,,,31200.0,2100000000.0,
925100000000.0,19200.0,4.6,0.1,200.0,8300.0,86990.0,214200000000.0,10.1
48000000000.0,21300.0,6.8,0.12,,,4450.0,11120000000.0,-5.0
8495000000.0,1700.0,6.0,0.1,200.0,3900.0,18500.0,775100000.0,6.0
11280000000.0,1900.0,6.0,0.1,200.0,1700.0,21716.0,579500000.0,9.7
26530000000.0,11500.0,7.6,0.6,500.0,7600.0,60472.0,5970000000.0,8.5
18830000000.0,5000.0,4.0,0.1,200.0,2800.0,7300.0,8162000000.0,
5892000000.0,3200.0,3.3,28.9,29000.0,320000.0,5940.0,730900000.0,15.5
