Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%)
51.43,13.0,407.0,170000.0,19.7,10240000.0,56.0,49200000.0,0.6
5.13,1.5,,6200.0,,14800.0,79.67,,
,,,,,,,,
5.53,2.9,208977.0,1718400.0,27.0,4400000.0,79.09,5890000000.0,4.3
15.82,1.6,2642.0,20000.0,,24500.0,69.65,,
14.62,2.8,18.0,15000.0,,42300.0,64.53,,
8.6,,,20000.0,,125900.0,77.9,,
6.94,0.0,,50000.0,,60000.0,78.4,,
35.93,7.2,20360.0,400000.0,14.9,3680000.0,65.14,201900000.0,0.8
4.71,4.9,,,,32290.0,80.3,,
90.37,18.0,380.0,40000.0,21.0,3000000.0,49.86,56700000.0,1.7
107.17,4.0,2.0,19000.0,,480000.0,46.97,8900000.0,3.1
33.26,4.5,613.0,125000.0,34.5,418000.0,65.5,6500000.0,0.9
73.45,22.0,,80000.0,,3600000.0,52.92,26000000.0,0.9
,,,,,,,,
,,9.0,,,,,,
29.32,7.0,1944.0,168600.0,24.1,2470000.0,65.6,100600000.0,1.4
2.97,-0.3,591993.0,3212800.0,22.7,3540000.0,81.39,,
,,,,,,,,
8.57,7.0,383071.0,1600000.0,22.8,4170000.0,72.4,1080000000.0,1.75
3.31,4.0,122175.0,195000.0,23.8,158100.0,80.19,,
56.29,4.2,86871.0,18481000.0,23.8,482200000.0,64.35,16970000000.0,2.5
35.6,6.1,62036.0,8000000.0,16.6,111500000.0,69.57,1300000000.0,3.0
41.58,15.5,5269.0,4300000.0,31.3,23000000.0,69.96,4300000000.0,3.3
50.25,25.4,,25000.0,,6700000.0,68.7,1300000000.0,
5.39,2.2,162228.0,1260000.0,23.8,1920000.0,77.56,700000000.0,0.9
7.03,0.0,437516.0,2000000.0,17.6,2680000.0,79.32,9110000000.0,8.7
5.94,2.3,1437511.0,18500000.0,19.3,24270000.0,79.68,28182800000.0,1.8
12.36,12.4,1480.0,600000.0,32.0,1140000.0,76.29,31200000.0,0.4
,,,,,,,,
3.26,-0.1,12962065.0,57200000.0,24.0,66970000.0,81.15,45841000000.0,1.0
,,,,,,,,
5.24,5.3,,,,52790.0,79.24,,
,,,,,,,,
17.35,3.2,3160.0,457000.0,11.6,1410000.0,78.24,1460000000.0,14.6
,,,,,,,,
29.21,6.9,21984.0,250000.0,23.9,7950000.0,66.55,221800000.0,0.9
61.47,9.0,8325.0,400000.0,14.7,11400000.0,47.99,177100000.0,1.3
,,,,,,,,
48.52,2.5,,2000.0,,7870.0,61.71,,
24.04,,,,,9600000.0,71.37,5217400000.0,
7.05,3.6,694206.0,29220000.0,28.7,22900000.0,75.82,16180000000.0,2.8
9.95,2.3,3437.0,567000.0,8.0,1420000.0,77.03,2584500000.0,5.3
35.64,3.2,12299.0,152000.0,17.0,2700000.0,68.16,19200000.0,1.4
85.22,12.3,937.0,15000.0,,2600000.0,55.08,10700000.0,0.5
9.55,6.0,51758.0,936000.0,26.1,1170000.0,71.05,87000000.0,1.2
24.52,2.0,6998.0,400000.0,26.0,2600000.0,72.63,540600000.0,3.1
84.23,5.3,119.0,21000.0,39.6,838000.0,36.68,32300000.0,2.3
128.87,15.0,14.0,1000.0,,,47.69,1500000.0,0.2
24.6,2.9,67.0,160000.0,9.9,1590000.0,76.5,1300000000.0,3.9
4.7,1.0,3727.0,20000.0,,29000.0,79.55,,
6.89,1.1,67769.0,695700.0,21.9,1630000.0,73.97,230800000.0,1.9
4.81,2.4,28214.0,165000.0,19.8,293700.0,78.74,231600000.0,0.9
4.39,2.0,89.0,120000.0,,231500.0,82.03,,
10.09,0.4,3738.0,100000.0,17.5,855000.0,73.73,200000000.0,6.0
76.83,7.5,773.0,70500.0,14.7,7300000.0,56.95,44600000.0,1.2
103.32,12.0,18.0,36000.0,10.7,4500000.0,36.97,11100000.0,0.7
17.7,1.3,107971.0,8692100.0,21.7,10490000.0,72.24,1690000000.0,2.03
56.52,1.0,532.0,15000.0,,88000.0,64.06,41100000.0,5.5
116.79,4.5,187.0,25000.0,,3930000.0,45.09,22400000.0,0.4
3.89,2.9,7156.0,120000.0,26.4,160000.0,78.86,31100000.0,0.7
5.93,3.6,,,,39690.0,78.34,,
29.45,2.0,6.0,1400.0,,28700.0,70.01,,
7.09,3.9,,40000.0,,165900.0,79.04,,
70.89,7.0,25.0,10000.0,,786000.0,52.73,20800000.0,1.7
15.03,4.5,3985.0,150000.0,22.5,560000.0,72.38,12500000.0,0.2
62.4,,,,,48800.0,61.39,,
20.91,5.4,1333406.0,10033000.0,19.4,34730000.0,75.19,6043000000.0,0.9
30.21,1.0,,6000.0,,,69.75,,
,,,,,,,,
