Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
8255000.0,21029853.0,,953.0,1267000000.0,302300.0,799900.0,3.02,20.0
,27884.0,,,,24512.0,9797.0,1.65,2.0
,,,,,,,,
4500000.0,10668354.0,112.0,2571.0,7300000000.0,5205100.0,8936200.0,1.33,10.0
,56375.0,,,,26000.0,16747.0,2.41,10.0
,89502.0,,,,33500.0,7600.0,2.37,12.5
,448713.0,,,,210000.0,323500.0,1.91,27.8
,168564.0,,,,84134.0,32600.0,2.6,15.0
263000000.0,14655189.0,32.0,886.0,3084000000.0,846000.0,1577100.0,4.53,7.5
,65228.0,,,,55000.0,31500.0,1.38,0.5
,9467866.0,,837.0,201700000.0,26200.0,111500.0,5.83,
,1416027.0,,,,10600.0,1300.0,4.93,
,765283.0,,187.0,280600000.0,80400.0,87300.0,2.05,
,8121622.0,,,80640000.0,130000.0,140000.0,5.02,
,,,,,,,,
,921.0,,,,,,,
,6975204.0,74.1,699.0,1464000000.0,322500.0,326500.0,3.87,28.5
,6898686.0,2.1,,123600000000.0,3801300.0,7241400.0,0.91,6.7
,,,,,,,,
110700000.0,10006835.0,58.3,7937.0,14800000000.0,3666400.0,6862800.0,1.32,5.9
,296737.0,35.9,,935000000.0,190700.0,279100.0,1.92,3.1
5700000000.0,1080264388.0,59.7,63140.0,126000000000.0,48917000.0,26154400.0,2.78,9.2
4900000000.0,241973879.0,56.2,6458.0,35820000000.0,7750000.0,11700000.0,2.44,9.2
130800000000.0,68017860.0,27.0,7203.0,29870000000.0,14571100.0,3376500.0,1.82,11.2
112500000000.0,26074906.0,,1963.0,,675000.0,20000.0,4.28,25.0
0.0,4015676.0,31.2,3312.0,4152000000.0,1955000.0,3400000.0,1.87,4.3
1920000.0,6276883.0,104.5,640.0,28480000000.0,3006000.0,6334000.0,2.44,10.7
586600000.0,58103033.0,105.6,19507.0,61500000000.0,26596000.0,55918000.0,1.28,8.6
,2731832.0,146.1,272.0,1400000000.0,444400.0,1400000.0,1.95,15.0
,,,,,,,,
29290000.0,127417244.0,164.3,23705.0,664600000000.0,71149000.0,86658600.0,1.39,4.7
,,,,,,,,
,90812.0,,,,73900.0,61400.0,1.57,0.9
,361.0,,,,,,,
445000.0,5759732.0,85.8,505.0,5457000000.0,622600.0,1325300.0,2.71,15.0
,,,,,,,,
26000000000.0,15185844.0,13.7,13601.0,14350000000.0,2081900.0,1027000.0,1.89,8.0
